store_code,product_id,quantity,price,product_name,brand,image_url,collection,product_url,gender,frame_material,frame_type,frame_size,frame_shape,frame_color,classification_name,stock_in_date,rr_30_days,rr_7_days,coco_qty,fofo_qty,keywords
LKST377,151049,1,2000,Matte Black Full Rim Wayfarer Vincent Chase ATHLEISURE VC S14457 C3 Polarized Sunglasses,Vincent Chase,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/1080x1080/9df78eab33525d08d6e5fb8d27136e95//v/i/Vincent-Chase-VC-S14457-C3-Sunglasses_G_7067.jpg,ATHLEISURE,http://www.lenskart.com/vincent-chase-vc-s14457-c3-sunglasses.html,Unisex,Polycarbonate,Full Rim,Wide,Wayfarer,Matte Black,sunglasses,2022-02-12,0.26667,0.28571,966,0,"[,"",V,i,n,c,e,n,t, ,C,h,a,s,e,"",,,"",A,T,H,L,E,I,S,U,R,E,"",,,"",U,n,i,s,e,x,"",,,"",P,o,l,y,c,a,r,b,o,n,a,t,e,"",,,"",F,u,l,l, ,R,i,m,"",,,"",W,i,d,e,"",,,"",W,a,y,f,a,r,e,r,"",,,"",M,a,t,t,e, ,B,l,a,c,k,"",,,"",s,u,n,g,l,a,s,s,e,s,"",]"
LKST377,211411,1,1700,Dark Gunmetal Full Rim Aviator Vincent Chase SLEEK STEEL VC E15170-C2 Eyeglasses,Vincent Chase,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/1080x1080/9df78eab33525d08d6e5fb8d27136e95//v/i/vincent-chase-vc-e15170-c2-eyeglasses_211411_1_(1)_31_10_2023.jpg,SLEEK STEEL,http://www.lenskart.com/vincent-chase-vc-e15170-c2-eyeglasses.html,Unisex,Stainless Steel,Full Rim,Wide,Aviator,Dark Gunmetal,eyeframe,0000-00-00,0.23333,0.00000,318,0,"[,"",V,i,n,c,e,n,t, ,C,h,a,s,e,"",,,"",S,L,E,E,K, ,S,T,E,E,L,"",,,"",U,n,i,s,e,x,"",,,"",S,t,a,i,n,l,e,s,s, ,S,t,e,e,l,"",,,"",F,u,l,l, ,R,i,m,"",,,"",W,i,d,e,"",,,"",A,v,i,a,t,o,r,"",,,"",D,a,r,k, ,G,u,n,m,e,t,a,l,"",,,"",e,y,e,f,r,a,m,e,"",]"
LKST377,134745,2,1700,Black Gold Full Rim Rectangle Vincent Chase SLEEK STEEL VC E12395 C1 Eyeglasses,Vincent Chase,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/1080x1080/9df78eab33525d08d6e5fb8d27136e95//v/i/vincent-chase-vc-e12395-c1-eyeglasses_g_7517.jpg,SLEEK STEEL,http://www.lenskart.com/vincent-chase-vc-e12395-c1-eyeglasses.html,Unisex,Stainless Steel,Full Rim,Wide,Rectangle,Black,eyeframe,2019-09-22,0.20000,0.14286,0,0,"[,"",V,i,n,c,e,n,t, ,C,h,a,s,e,"",,,"",S,L,E,E,K, ,S,T,E,E,L,"",,,"",U,n,i,s,e,x,"",,,"",S,t,a,i,n,l,e,s,s, ,S,t,e,e,l,"",,,"",F,u,l,l, ,R,i,m,"",,,"",W,i,d,e,"",,,"",R,e,c,t,a,n,g,l,e,"",,,"",B,l,a,c,k,"",,,"",e,y,e,f,r,a,m,e,"",]"
LKST377,134756,1,1700,Black Gold Full Rim Cat Eye Vincent Chase SLEEK STEEL VC E12400 C2 Eyeglasses,Vincent Chase,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/1080x1080/9df78eab33525d08d6e5fb8d27136e95//v/i/vincent-chase-vc-e12400-c2-eyeglasses_eyeglasses_s_G_2861.jpg,SLEEK STEEL,http://www.lenskart.com/black-golden-full-rim-cat-eye-medium-size-53-vincent-chase-online-steel-escobar-vc-e12400-c2-eyeglasses.html,Women,Stainless Steel,Full Rim,Wide,Cat Eye,Black,eyeframe,2019-09-16,0.20000,0.14286,0,0,"[,"",V,i,n,c,e,n,t, ,C,h,a,s,e,"",,,"",S,L,E,E,K, ,S,T,E,E,L,"",,,"",W,o,m,e,n,"",,,"",S,t,a,i,n,l,e,s,s, ,S,t,e,e,l,"",,,"",F,u,l,l, ,R,i,m,"",,,"",W,i,d,e,"",,,"",C,a,t, ,E,y,e,"",,,"",B,l,a,c,k,"",,,"",e,y,e,f,r,a,m,e,"",]"
LKST377,147041,2,2000,Gunmetal Black Full Rim Aviator Vincent Chase The Metal Edit VC S13835-C1 Polarized Sunglasses,Vincent Chase Polarized,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/1080x1080/9df78eab33525d08d6e5fb8d27136e95//v/i/gunmetal-black-full-rim-aviator-vincent-chase-the-metal-edit-vc-s13835-c1-polarized-sunglasses_vincent-chose-vc-s13835-frll-rum-c1-sunglasses_sunglasses_g_8140_28july23.jpg,The Metal Edit,http://www.lenskart.com/vincent-chase-vincent-chase-vc-s13835-full-rim-c1-sunglasses.html,Unisex,Stainless Steel,Full Rim,Wide,Aviator,Gunmetal,sunglasses,2021-02-19,0.20000,0.28571,448,0,"[,"",V,i,n,c,e,n,t, ,C,h,a,s,e, ,P,o,l,a,r,i,z,e,d,"",,,"",T,h,e, ,M,e,t,a,l, ,E,d,i,t,"",,,"",U,n,i,s,e,x,"",,,"",S,t,a,i,n,l,e,s,s, ,S,t,e,e,l,"",,,"",F,u,l,l, ,R,i,m,"",,,"",W,i,d,e,"",,,"",A,v,i,a,t,o,r,"",,,"",G,u,n,m,e,t,a,l,"",,,"",s,u,n,g,l,a,s,s,e,s,"",]"
LKST377,148024,1,2000,Gunmetal Black Full Rim Rectangle Square Vincent Chase The Metal Edit VC S13969-C2 Polarized Sunglasses,Vincent Chase Polarized,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/1080x1080/9df78eab33525d08d6e5fb8d27136e95//v/i/vincent-chase-vc-s13969-c2-sunglasses_sunglasses_sunglasses_g_6302q.jpg,The Metal Edit,http://www.lenskart.com/vincent-chase-vc-s13969-c2-sunglasses.html,Unisex,Stainless Steel,Full Rim,Extra Wide,Rectangle/ Square,Gunmetal,sunglasses,2021-06-02,0.20000,0.28571,1114,0,"[,"",V,i,n,c,e,n,t, ,C,h,a,s,e, ,P,o,l,a,r,i,z,e,d,"",,,"",T,h,e, ,M,e,t,a,l, ,E,d,i,t,"",,,"",U,n,i,s,e,x,"",,,"",S,t,a,i,n,l,e,s,s, ,S,t,e,e,l,"",,,"",F,u,l,l, ,R,i,m,"",,,"",E,x,t,r,a, ,W,i,d,e,"",,,"",R,e,c,t,a,n,g,l,e,/, ,S,q,u,a,r,e,"",,,"",G,u,n,m,e,t,a,l,"",,,"",s,u,n,g,l,a,s,s,e,s,"",]"
LKST377,201630,1,1700,Brown Transparent Silver Full Rim Geometric Vincent Chase Blend Edit VC E14977-C2 Eyeglasses,Vincent Chase,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/1080x1080/9df78eab33525d08d6e5fb8d27136e95//v/i/brown-transparent-silver-full-rim-geometric-vincent-chase-blend-edit-vc-e14977-c2-eyeglasses_g_3501_10_14_22.jpg,Blend Edit,http://www.lenskart.com/vincent-chase-vc-e14977-c2-eyeglasses.html,Unisex,Cellulose Acetate,Full Rim,Narrow,Geometric,Brown Transparent,eyeframe,0000-00-00,0.20000,0.28571,882,0,"[,"",V,i,n,c,e,n,t, ,C,h,a,s,e,"",,,"",B,l,e,n,d, ,E,d,i,t,"",,,"",U,n,i,s,e,x,"",,,"",C,e,l,l,u,l,o,s,e, ,A,c,e,t,a,t,e,"",,,"",F,u,l,l, ,R,i,m,"",,,"",N,a,r,r,o,w,"",,,"",G,e,o,m,e,t,r,i,c,"",,,"",B,r,o,w,n, ,T,r,a,n,s,p,a,r,e,n,t,"",,,"",e,y,e,f,r,a,m,e,"",]"
LKST377,207671,1,3000,Peyush Bansal Shark Tank Dark Night Full Rim Wayfarer,Lenskart Hustlr,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/1080x1080/9df78eab33525d08d6e5fb8d27136e95//l/i/dark-night-full-rim-square-lenskart-air-lenskart-hustlr-la-e15417-c10-eyeglasses_g_5249_07_18_23.jpg,Air Essentials,http://www.lenskart.com/lenskart-hustlr-la-e15417-c10-eyeglasses.html,Unisex,TR90,Full Rim,Medium,Wayfarer,Dark Night,eyeframe,0000-00-00,0.20000,0.14286,0,0,"[,"",L,e,n,s,k,a,r,t, ,H,u,s,t,l,r,"",,,"",A,i,r, ,E,s,s,e,n,t,i,a,l,s,"",,,"",U,n,i,s,e,x,"",,,"",T,R,9,0,"",,,"",F,u,l,l, ,R,i,m,"",,,"",M,e,d,i,u,m,"",,,"",W,a,y,f,a,r,e,r,"",,,"",D,a,r,k, ,N,i,g,h,t,"",,,"",e,y,e,f,r,a,m,e,"",]"
LKST377,131518,1,1700,Purple Transparent  Full Rim Cat Eye Vincent Chase HD Acetate VC E11803-C2 Eyeglasses,Vincent Chase,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/1080x1080/9df78eab33525d08d6e5fb8d27136e95//v/i/vincent-chase-vc-e11803-c2-eyeglasses_vincent-chase-vc-e11803-c2-eyeglasses_vincent-chase-vc-e11803-c2-eyeglasses_g_0469.jpg,HD Acetate,http://www.lenskart.com/vincent-chase-vc-e11803-c2-eyeglasses.html,Women,High Density Acetate,Full Rim,Narrow,Cat Eye,Purple Transparent,eyeframe,2019-03-04,0.16667,0.00000,1055,0,"[,"",V,i,n,c,e,n,t, ,C,h,a,s,e,"",,,"",H,D, ,A,c,e,t,a,t,e,"",,,"",W,o,m,e,n,"",,,"",H,i,g,h, ,D,e,n,s,i,t,y, ,A,c,e,t,a,t,e,"",,,"",F,u,l,l, ,R,i,m,"",,,"",N,a,r,r,o,w,"",,,"",C,a,t, ,E,y,e,"",,,"",P,u,r,p,l,e, ,T,r,a,n,s,p,a,r,e,n,t,"",,,"",e,y,e,f,r,a,m,e,"",]"
LKST377,142996,3,2000,Gold Purple Half Rim Cat Eye Vincent Chase SLEEK STEEL VC E13393 - C1 Eyeglasses,Vincent Chase,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/1080x1080/9df78eab33525d08d6e5fb8d27136e95//v/i/vincent-chase-vc-e13393-c1-eyeglasses_vincent-chase-vc-e13393-c1-eyeglasses_vincent-chase-vc-e13393-c1-eyeglasses_g_9657.jpg,SLEEK STEEL,http://www.lenskart.com/vincent-chase-vc-e13393-c1-eyeglasses.html,Women,Stainless Steel,Half Rim,Narrow,Cat Eye,Golden Purple,eyeframe,2020-09-22,0.16667,0.14286,0,0,"[,"",V,i,n,c,e,n,t, ,C,h,a,s,e,"",,,"",S,L,E,E,K, ,S,T,E,E,L,"",,,"",W,o,m,e,n,"",,,"",S,t,a,i,n,l,e,s,s, ,S,t,e,e,l,"",,,"",H,a,l,f, ,R,i,m,"",,,"",N,a,r,r,o,w,"",,,"",C,a,t, ,E,y,e,"",,,"",G,o,l,d,e,n, ,P,u,r,p,l,e,"",,,"",e,y,e,f,r,a,m,e,"",]"
