title,price,discountedPrice,coupon,brand,size,extraDetail,productID,modelNo,frameWidth,frameDimensions,frameColour,link
Gold Full Rim Aviator,1500,1000,SINGLE,Vincent Chase Polarized,Medium,,s11075,VC S11075,138 mm,55-16-140,,/vincent-chase-vc-s11075-c11-sunglasses.html
Gold Brown Rimless Rectangle/ Square,2000,1500,SINGLE,Vincent Chase,Wide,,s15397,VC S15397,142 mm,60-12-148,,/vincent-chase-vc-s15397-c3-sunglasses.html
Tortoise Half Rim Wayfarer,2000,1500,SINGLE,Lenskart Boost,Wide,,s16443,LKB S16443,143 mm,67-20-125,,/lenskart-boost-lkb-s16443-c1-sunglasses.html
Black Full Rim Wayfarer,2000,1500,SINGLE,Lenskart Hustlr,Medium,,s15999,VC S15999,141 mm,49-21-150,,/vincent-chase-vc-s15999-c1-sunglasses.html
Brown Full Rim Rectangle/ Square,2000,1500,SINGLE,Vincent Chase Polarized,Medium,,s16340,VC S16340,140 mm,49-19-145,Brown,/vincent-chase-vc-s16340-c1-sunglasses.html
Yellow Full Rim Cat Eye,1500,1000,SINGLE,Vincent Chase Polarized,Wide,,s16145,VC S16145,143 mm,52-19-145,,/vincent-chase-vc-s16145-c5-sunglasses.html
Black Full Rim Geometric,1500,1000,SINGLE,Vincent Chase Polarized,Medium,,s16558,VC S16558,139 mm,53-19-145,,/vincent-chase-vc-s16558-c2-sunglasses.html
Silver Full Rim Aviator,2000,1500,SINGLE,Vincent Chase Polarized,Medium,,vc,VC S11075,138 mm,56-16-145,Silver,/vincent-chase-polarized-vc-s11075-c7-sunglasses.html
Silver Maroon Full Rim Clubmaster,2000,1500,SINGLE,Vincent Chase Polarized,Medium,,s16341,VC S16341,140 mm,52-20-145,Silver Maroon,/vincent-chase-vc-s16341-c3-sunglasses.html
Black Silver Full Rim Wayfarer,2000,1500,SINGLE,Vincent Chase Polarized,Wide,,s11110,VC S11110,145 mm,52-19-151,Black Silver,/vincent-chase-vc-s11110-c11-sunglasses.html
Silver Full Rim Geometric,1500,1000,SINGLE,Vincent Chase Polarized,Medium,,s16561,VC S16561,139 mm,51-22-145,Silver,/vincent-chase-vc-s16561-c2-sunglasses.html
Matte Blue Half Rim Wayfarer,2000,1500,SINGLE,Lenskart Boost,Extra Wide,,s16582,LKB S16582,153 mm,41-20-153,,/lenskart-boost-lkb-s16582-c1-sunglass.html
Black Full Rim Rectangle/ Square,1500,1000,SINGLE,Vincent Chase Polarized,Wide,,s16560,VC S16560,141 mm,52-19-143,Black,/vincent-chase-vc-s16560-c2-sunglasses.html
Brown Full Rim Rectangle/ Square,2000,1500,SINGLE,Vincent Chase Polarized,Medium,,s,VC S16342,140 mm,53-16-146,,/vincent-chase-vc-s-16342-c2-sunglass.html
Gold Full Rim Geometric,2000,1500,SINGLE,Vincent Chase,Medium,,s16529,VC S16529,136 mm,54-16-142,Gold,/vincent-chase-vc-s16529-c2-sunglasses.html
Grey Full Rim Aviator,2000,1500,SINGLE,Vincent Chase Polarized,Wide,,s16339,VC S16339,143 mm,52-18-150,Grey,/vincent-chase-vc-s16339-c1-sunglasses.html
Silver Rimless Round,1500,1000,SINGLE,Vincent Chase,Medium,,s16543,VC S16543,137 mm,55-15-142,,/vincent-chase-vc-s16543-c2-sunglasses.html
Gold Black Full Rim Aviator,1500,1000,SINGLE,Vincent Chase Polarized,Wide,,s15762,VC S15762,142 mm,52-20-146,Gold Black,/vincent-chase-vc-s15762-c1-sunglasses.html
Tortoise Full Rim Wayfarer,2000,1500,SINGLE,Vincent Chase,Wide,,s14459,VC S14459,142 mm,55-17-148,,/vincent-chase-vc-s14459-c2-sunglasses.html
Blue Orange Full Rim Wayfarer,1500,1000,SINGLE,Vincent Chase Polarized,Wide,,s15756,VC S15756,144 mm,55-19-145,Blue Orange,/vincent-chase-vc-s15756-c2-sunglasses.html
Gold Half Rim Rectangle/ Square,1500,1000,SINGLE,Vincent Chase Polarized,Medium,,s16541,VC S16541,139 mm,54-19-145,Gold,/vincent-chase-vc-s16541-c2-sunglasses.html
Brown Tortoise Full Rim Aviator,2000,1500,SINGLE,Vincent Chase Polarized,Medium,,s15407,VC S15407,140 mm,54-16-143,Brown Tortoise,/vincent-chase-vc-s15407-c2-sunglasses.html
Blue Full Rim Wayfarer,2000,1500,SINGLE,Vincent Chase,Wide,,s16185,VC S16185,143 mm,56-17-145,Blue,/vincent-chase-vc-s16185-c2-sunglasses.html
Amber Full Rim Wayfarer,2000,1500,SINGLE,Lenskart Hustlr,Medium,,la,LA E15417-M,139 mm,49-21-150,,/vincent-chase-polarized-la-e15417-c2-sunglasses.html
Transparent Full Rim Wayfarer,1500,1000,SINGLE,Vincent Chase Polarized,Wide,,s16143,VC S16143,141 mm,52-19-143,Transparent,/vincent-chase-vc-s16143-c6-sunglasses.html
Blue Full Rim Wayfarer,2000,800,TRYUS,Vincent Chase Online,Wide,,s14461,VC S14461,142 mm,54-17-142,Blue,/vincent-chase-vc-s14461-c8-sunglasses.html
Green Full Rim Wayfarer,1500,1000,SINGLE,Vincent Chase Polarized,Wide,,s15770,VC S15770,141 mm,54-19-145,,/vincent-chase-vc-s15770-c3-sunglasses.html
Gold Full Rim Cat Eye,2000,1500,SINGLE,Vincent Chase Polarized,Medium,,s,VC S16469,139 mm,55-17-145,,/vincent-chase-vc-s-16469-c2-sunglasses.html
Purple Silver Full Rim Round,1700,1200,SINGLE,Vincent Chase,Medium,Frame + Lens,e13784,VC E13784,135 mm,51-18-148,Purple Silver,/vincent-chase-vc-e13784-c1-eyeglasses.html
Gold Full Rim Geometric,1700,1200,SINGLE,Vincent Chase,Medium,Frame + Lens,e13785,VC E13785,134 mm,52-17-145,Gold,/vincent-chase-vc-e13785-c1-eyeglasses.html
Matte Black Full Rim Rectangle/ Square,2000,1500,SINGLE,Vincent Chase Polarized,Medium,,s13116,VC S13116,138 mm,54-14-145,Matte Black,/vincent-chase-vc-s13116-c1-sunglasses.html
Black Full Rim Rectangle/ Square,2000,1500,SINGLE,Vincent Chase Polarized,Medium,,s14078,VC S14078,137 mm,53-18-145,Black,/vincent-chase-vc-s14078-c1-c1-sunglasses.html
Pink Transparent Full Rim Geometric,1700,1200,₹1700,Vincent Chase,Medium,Frame + Lens,e13451,VC E13451-M,137 mm,51-18-140,Pink Transparent,/vincent-chase-vc-e13451-m-c1-eyeglasses.html
Gold Full Rim Rectangle/ Square,2000,1500,SINGLE,Vincent Chase Polarized,Medium,,s16774,VC S16774,140 mm,54-20-145,Gold,/vincent-chase-vc-s16774-c1-sunglasses.html
Transparent Full Rim Wayfarer,3500,2500,SINGLE,John Jacobs,Medium,Frame + Lens,e10235,JJ E10235,135 mm,53-17-140,,/john-jacobs-jj-e10235-c7-eyeglasses.html
Pink Transparent Full Rim Rectangle,1700,1200,SINGLE,Vincent Chase,Extra Narrow,Frame + Lens,e14974,VC E14974,128 mm,49-16-135,,/vincent-chase-vc-e14974-c2-eyeglasses.html
Brown Transparent Full Rim Cat Eye,1700,1200,SINGLE,Vincent Chase,Narrow,Frame + Lens,e14973,VC E14973,132 mm,52-15-135,Brown Transparent,/vincent-chase-vc-e14973-c2-eyeglasses.html
Matte Black Full Rim Wayfarer,2000,1500,SINGLE,Vincent Chase Polarized,Wide,,s13820,VC S13820,142 mm,56-17-140,Matte Black,/vincent-chase-vc-s13820-c3-suglasses.html
Black Full Rim Wayfarer,1500,1000,SINGLE,Vincent Chase Polarized,Wide,,s14459,VC S14459,142 mm,55-17-148,Black,/vincent-chase-vc-s14459-c7-sunglasses.html
Black Full Rim Rectangle/ Square,2000,1500,₹2000,Vincent Chase,Wide,,s16955,VC S16955,142 mm,55-18-141,,/vincent-chase-vc-s16955-c1-sunglasses.html
Blue Transparent Full Rim Wayfarer,2000,1500,SINGLE,Vincent Chase Polarized,Wide,,s16745,VC S16745,142 mm,51-22-147,Blue Transparent,/vincent-chase-vc-s16745-c3-sunglasses.html
Gunmetal Full Rim Hexagonal,5000,4000,SINGLE,John Jacobs,Medium,,s12472,JJ S12472,137 mm,53-20-145,Gunmetal,/john-jacobs-jj-s12472-c2-sunglasses.html
Purple Brown Full Rim Cat Eye,1700,1200,SINGLE,Vincent Chase,Medium,Frame + Lens,e13029,VC E13029,136 mm,52-17-140,Purple Brown,/vincent-chase-vc-e13029-c2-eyeglasses.html
Gunmetal Black Full Rim Geometric,1700,1200,SINGLE,Vincent Chase,Medium,Frame + Lens,e13785,VC E13785,134 mm,52-17-145,Gunmetal Black,/vincent-chase-vc-e13785-c2-eyeglasses.html
Golden Full Rim Round,2000,1500,SINGLE,Vincent Chase Polarized,Medium,,s13112,VC S13112,140 mm,51-20-142,Golden,/vincent-chase-vc-s13112-c4-sunglasses.html
Silver Full Rim Round,2000,1500,SINGLE,Vincent Chase Polarized,Medium,,s15398,VC S15398,138 mm,50-22-143,Silver,/vincent-chase-vc-s15398-c2-sunglasses.html
Gunmetal Full Rim Round,1700,1200,SINGLE,Vincent Chase,Medium,Frame + Lens,e16786,VC E16786,136 mm,52-19-145,Gunmetal,/vincent-chase-vc-e16786-c2-eyeglasses.html
Black Full Rim Wayfarer,2000,1500,₹2000,Vincent Chase Polarized,Medium,,s16800,VC S16800,140 mm,62-16-132,Black,/vincent-chase-vc-s16800-c1-sunglasses.html
Pink Transparent Full Rim Round,3500,2500,SINGLE,John Jacobs,Medium,Frame + Lens,e14410,JJ E14410,134 mm,50-19-140,Pink Transparent,/john-jacobs-jj-e14410-c4-eyeglasses.html
Brown Transparent Full Rim Geometric,1700,1200,SINGLE,Vincent Chase,Narrow,Frame + Lens,e14977,VC E14977,133 mm,49-20-135,Brown Transparent,/vincent-chase-vc-e14977-c2-eyeglasses.html
Silver Black Full Rim Geometric,1700,1200,SINGLE,Vincent Chase,Narrow,Frame + Lens,e13786,VC E13786,132 mm,49-20-146,Silver Black,/vincent-chase-vc-e13786-c2-eyeglasses.html
Gold Full Rim Round,2000,1500,SINGLE,Vincent Chase Polarized,Narrow,,s13137,VC S13137,135 mm,50-20-145,,/vincent-chase-vc-s13137-c4-c4-sunglasses.html
Black Full Rim Round,2000,1500,SINGLE,Vincent Chase Polarized,Narrow,,s14084,VC S14084,131 mm,51-19-145,,/vincent-chase-vc-s14084-c2-c2-sunglasses.html
Black Full Rim Rectangle/ Square,2000,1500,₹2000,Vincent Chase,Wide,,s16956,VC S16956,142 mm,56-15-144,,/vincent-chase-vc-s16956-c1-sunglasses.html
Green Full Rim Wayfarer,2000,1500,₹2000,Vincent Chase Polarized,Wide,,s16798,VC S16798,145 mm,56-20-138,Green,/vincent-chase-vc-s16798-c1-sunglasses.html
Black Full Rim Rectangle,3500,2500,SINGLE,John Jacobs,Wide,Frame + Lens,e16146,JJ E16146,139 mm,54-15-145,Black,/john-jacobs-jj-e16146-c4-eyeglasses.html
Pink Rimless Rectangle,1700,1200,SINGLE,Vincent Chase,Medium,Frame + Lens,e14324,VC E14324,136 mm,54-17-145,Pink,/vincent-chase-vc-e14324-c3-eyeglasses.html
Matte Black Gunmetal Full Rim Round,1700,1200,SINGLE,Vincent Chase,Medium,Frame + Lens,e13784,VC E13784,135 mm,51-18-148,,/vincent-chase-vc-e13784-c2-eyeglasses.html
Black Full Rim Round,2000,1500,₹2000,Vincent Chase Polarized,Medium,,c9,VC S13112,140 mm,51-20-145,Black,/vincent-chase-vcs13112-c9-c9-sunglasses.html
Silver Full Rim Rectangle/ Square,2000,1500,SINGLE,Vincent Chase Polarized,Medium,,s14078,VC S14078,137 mm,53-18-145,Silver,/vincent-chase-vc-s14078-c2-c2-sunglasses.html
Blue Full Rim Rectangle,1700,1200,SINGLE,Vincent Chase,Medium,Frame + Lens,e16787,VC E16787,136 mm,54-16-145,Blue,/vincent-chase-vc-e16787-c3-eyeglasses.html
Blue Full Rim Wayfarer,2000,1500,₹2000,Vincent Chase Polarized,Medium,,s16797,VC S16797,139 mm,54-17-135,Blue,/vincent-chase-vc-s16797-c2-sunglasses.html
Black Full Rim Hexagonal,5000,4000,SINGLE,John Jacobs,Medium,Frame + Lens,rim,JJ E11675,135 mm,50-20-145,Black,/black-golden-full-rim-hexagon-small-size-50-john-jacobs-supreme-steel-jj-e11675-c1-eyeglasses.html
Matte Black Full Rim Wayfarer,2000,1500,₹2000,Vincent Chase,Wide,,s14457,VC S14457,142 mm,56-15-144,Matte Black,/vincent-chase-vc-s14457-c3-sunglasses.html
Gold Full Rim Geometric,1700,1200,SINGLE,Vincent Chase,Narrow,Frame + Lens,e13786,VC E13786,132 mm,49-20-146,Gold,/vincent-chase-vc-e13786-c1-eyeglasses.html
Black Full Rim Wayfarer,1500,1000,SINGLE,Vincent Chase Polarized,Wide,,s12643,VC S12643,143 mm,54-19-140,,/vincent-chase-vc-s12643-l2-sunglasses.html
Silver Full Rim Round,2000,1500,SINGLE,Vincent Chase Polarized,Narrow,,s13137,VC S13137,135 mm,50-20-145,,/vincent-chase-vc-s13137-c5-c5-sunglasses.html
Black Full Rim Rectangle/ Square,2000,1500,₹2000,Vincent Chase,Wide,,s16954,VC S16954,142 mm,61-16-129,,/vincent-chase-vc-s16954-c1-sunglasses.html
Black Full Rim Wayfarer,2000,1500,₹2000,Vincent Chase Polarized,Wide,,s16794,VC S16794,142 mm,60-17-135,Black,/vincent-chase-vc-s16794-c1-sunglasses.html
Black Full Rim Aviator,5000,4000,SINGLE,John Jacobs,Extra Wide,,s12473,JJ S12473,143 mm,58-18-145,Black,/john-jacobs-jj-s12473-c1-sunglasses.html
Silver Blue Full Rim Square,1700,1200,SINGLE,Vincent Chase,Medium,Frame + Lens,e15348,VC E15348,137 mm,55-15-145,Silver Blue,/vincent-chase-vc-e15348-c2-eyeglasses.html
Silver Full Rim Rectangle/ Square,2000,1500,SINGLE,Vincent Chase Polarized,Medium,,s15399,VC S15399,139 mm,56-17-145,,/vincent-chase-vc-s15399-c1-sunglasses.html
Matte Black Gold Full Rim Clubmaster,2000,1500,₹2000,Vincent Chase Polarized,Medium,,s14482,VC S14482,140 mm,51-19-45,Matte Black Gold,/vincent-chase-vc-s14482-c1-sunglasses.html
Gunmetal Grey Full Rim Square,1700,1200,₹1700,Vincent Chase,Medium,Frame + Lens,e16664,VC E16664,136 mm,49-22-147,Gunmetal Grey,/vincent-chase-vc-e16664-c3-eyeglasses.html
Blue Full Rim Round,2000,1500,SINGLE,Vincent Chase Polarized,Medium,,s16749,VC S16749,138 mm,46-23-142,Blue,/vincent-chase-vc-s16749-c1-sunglasses.html
Black Full Rim Rectangle,3500,2500,SINGLE,John Jacobs,Medium,Frame + Lens,e14411,JJ E14411,138 mm,54-17-140,Black,/john-jacobs-jj-e14411-c1-eyeglasses.html
Copper Full Rim Round,1700,1200,SINGLE,Vincent Chase,Narrow,Frame + Lens,e15069,VC E15069,130 mm,47-18-145,Copper,/vincent-chase-vc-e15069-c2-eyeglasses.html
Gold Full Rim Geometric,1700,1200,SINGLE,Vincent Chase,Narrow,Frame + Lens,e13788,VC E13788,132 mm,48-18-145,Gold,/vincent-chase-vc-e13788-c1-eyeglasses.html
Matte Black Full Rim Wayfarer,2000,1500,SINGLE,Vincent Chase Polarized,Wide,,s14461,VC S14461,142 mm,55-18-141,Matte Black,/vincent-chase-vc-s14461-c5-sunglasses.html
Grey Full Rim Round,2000,1500,SINGLE,Vincent Chase Polarized,Narrow,,s11164,VC S11164,135 mm,48-22-145,,/vincent-chase-vc-s11164-c7-full-rim-round-stainless-steel-stainless-steel-sunglasses.html
Pink Transparent Full Rim Geometric,1700,1200,₹1700,Vincent Chase,Wide,Frame + Lens,e13451,VC E13451-W,141 mm,54-17-140,Pink Transparent,/vincent-chase-vc-e13451-w-c1-eyeglasses.html
Black Full Rim Wayfarer,2000,1500,₹2000,Vincent Chase Polarized,Extra Wide,,s16796,VC S16796,146 mm,61-17-140,Black,/vincent-chase-vc-s16796-c1-sunglasses.html
Pro Titanium Gunmetal Rimless Rectangle,5000,4000,SINGLE,John Jacobs,Extra Narrow,Frame + Lens,medium,JJ E10640,128 mm,52-17-140,Pro Titanium Gunmetal,/gunmetal-rimless-rectangle-medium-size-52-john-jacobs-titanium-jj-e10640-c2-eyeglasses.html
Grey Transparent Gunmetal Full Rim Round,1700,1200,SINGLE,Vincent Chase,Medium,Frame + Lens,e13033,VC E13033-M,136 mm,49-19-140,Grey Transparent Gunmetal,/vincent-chase-vc-e13033-m-c2-c2-eyeglasses.html
Gunmetal Black Half Rim Rectangle,1700,1200,SINGLE,Vincent Chase,Medium,Frame + Lens,e11891,VC E11891,134 mm,53-17-140,Gunmetal Black,/vincent-chase-vc-e11891-c3-eyeglasses.html
Black Full Rim Aviator,1500,1000,₹1500,Vincent Chase Polarized,Medium,,vc,VC S11075,138 mm,56-16-145,Black,/vincent-chase-polarized-vc-s11075-c5-sunglasses.html
Gold Black Full Rim Geometric,2000,1500,SINGLE,Vincent Chase Polarized,Medium,,s15403,VC S15403,136 mm,54-17-135,Gold Black,/vincent-chase-vc-s15403-c2-sunglasses.html
Silver Full Rim Geometric,1700,1200,SINGLE,Vincent Chase,Medium,Frame + Lens,e16657,VC E16657,136 mm,52-16-145,Silver,/vincent-chase-vc-e16657-c1-eyeglasses.html
Transparent Full Rim Wayfarer,2000,1500,SINGLE,Vincent Chase Polarized,Medium,,s16752,VC S16752,137 mm,48-18-146,Transparent,/vincent-chase-vc-s16752-c1-sunglasses.html
Gold Black Full Rim Square,5000,4000,SINGLE,John Jacobs,Medium,Frame + Lens,e11540,JJ E11540,137 mm,53-17-143,Gold Black,/john-jacobs-jj-e11540-c7-eyeglasses.html
Transparent Full Rim Geometric,1700,1200,SINGLE,Vincent Chase,Narrow,Frame + Lens,e14977,VC E14977,133 mm,49-20-135,Transparent,/vincent-chase-vc-e14977-c3-eyeglasses.html
Golden Purple Half Rim Cat Eye,1700,1200,SINGLE,Vincent Chase,Narrow,Frame + Lens,e13393,VC E13393,132 mm,52-17-135,,/vincent-chase-vc-e13393-c1-eyeglasses.html
Matte Black Silver Full Rim Clubmaster,2000,1500,SINGLE,Vincent Chase Polarized,Wide,,s12973,VC S12973,142 mm,50-20-145,,/vincent-chase-vc-s12973-c1-sunglasses.html
Gold Full Rim Round,2000,1500,SINGLE,Vincent Chase Polarized,Narrow,,s14084,VC S14084,131 mm,51-19-145,Gold,/vincent-chase-vc-s14084-c4-c4-sunglasses.html
Purple Full Rim Cat Eye,1700,1200,SINGLE,Vincent Chase,Extra Narrow,Frame + Lens,e16658,VC E16658,129 mm,51-16-140,Purple,/vincent-chase-vc-e16658-c2-eyeglasses.html
Black Full Rim Wayfarer,2000,1500,₹2000,Vincent Chase Polarized,Wide,,s16795,VC S16795,142 mm,58-17-135,Black,/vincent-chase-vc-s16795-c2-sunglasses.html
Grey Transparent Full Rim Rectangle,3500,2500,SINGLE,John Jacobs,Wide,Frame + Lens,e16146,JJ E16146,139 mm,54-15-145,Grey Transparent,/john-jacobs-jj-e16146-c3-eyeglasses.html
Silver Full Rim Square,1700,1200,SINGLE,Vincent Chase,Wide,Frame + Lens,rim,VC E12422,138 mm,57-13-145,,/silver-black-full-rim-rectangle-large-size-56-vincent-chase-online-steel-escobar-vc-e12422-c3-eyeglasses.html
Silver Full Rim Round,1700,1200,SINGLE,Vincent Chase,Narrow,Frame + Lens,e15069,VC E15069,130 mm,47-18-145,Silver,/vincent-chase-vc-e15069-c1-eyeglasses.html
Gunmetal Tortoise Full Rim Round,2000,1500,SINGLE,Vincent Chase Polarized,Narrow,,vc,VC S11164,135 mm,48-22-145,,/vincent-chase-polarized-vc-s11164-c5-sunglasses.html
Blue Transparent Full Rim Rectangle,1700,1200,SINGLE,Vincent Chase,Extra Narrow,Frame + Lens,e16692,VC E16692,129 mm,49-17-140,,/vincent-chase-vc-e16692-c2-eyeglasses.html
Black Full Rim Wayfarer,2000,1500,₹2000,Vincent Chase Polarized,Wide,,s16799,VC S16799,144 mm,57-18-140,Black,/vincent-chase-vc-s16799-c1-sunglasses.html
Transparent Full Rim Rectangle,3500,2500,SINGLE,John Jacobs,Wide,Frame + Lens,e14008l,JJ E14008L,140 mm,54-17-140,Transparent,/john-jacobs-jj-e14008l-c7-eyeglasses.html
Matte Gunmetal Full Rim Geometric,1700,1200,SINGLE,Vincent Chase,Narrow,Frame + Lens,e13788,VC E13788,132 mm,48-18-145,,/vincent-chase-vc-e13788-c2-eyeglasses.html
Rose Gold Full Rim Geometric,1700,1200,SINGLE,Vincent Chase,Narrow,Frame + Lens,e13783,VC E13783,132 mm,50-17-148,Rose Gold,/vincent-chase-vc-e13783-c1-eyeglasses.html
Blue Full Rim Wayfarer,1500,1000,SINGLE,Vincent Chase Polarized,Wide,,s12643,VC S12643,143 mm,54-19-140,,/vincent-chase-vc-s12643-l1-sunglasses.html
Brown Transparent Gunmetal Full Rim Clubmaster,2000,1500,SINGLE,Vincent Chase Polarized,Extra Wide,,rim,VC S10681/P,146 mm,53-20-145,Brown Transparent Gunmetal,/brown-green-full-rim-clubmaster-small-size-53-vincent-chase-polarized-popstar-vc-s10681-p-c5-sunglasses.html
Blue Full Rim Round,1700,1200,SINGLE,Vincent Chase,Medium,Frame + Lens,e16690,VC E16690,134 mm,50-19-140,Blue,/vincent-chase-vc-e16690-c1-eyeglasses.html
Blue Full Rim Wayfarer,2000,1500,₹2000,Vincent Chase Polarized,Extra Wide,,s16801,VC S16801,146 mm,58-18-139,Blue,/vincent-chase-vc-s16801-c2-sunglasses.html
Grey Transparent Full Rim Rectangle,3500,2500,SINGLE,John Jacobs,Wide,Frame + Lens,e16146,JJ E16146,139 mm,54-15-145,Grey Transparent,/john-jacobs-jj-e16146-c2-eyeglasses.html
Pink Transparent Full Rim Rectangle,1700,1200,SINGLE,Vincent Chase,Extra Narrow,Frame + Lens,e13447,VC E13447,136 mm,46-16-140,,/vincent-chase-vc-e13447-c6-eyeglasses.html
Tortoise Full Rim Wayfarer,1500,1000,SINGLE,Vincent Chase Polarized,Wide,,s11167,VC S11167,142 mm,54-16-145,,/vincent-chase-vc-s11167-l1-sunglasses.html
Gold Black Full Rim Cat Eye,2000,1500,SINGLE,Vincent Chase Polarized,Wide,,s11759,VC S11759,142 mm,58-16-143,Gold Black,/vincent-chase-vc-s11759-c3-sunglasses.html
Blue Full Rim Rectangle,1700,1200,SINGLE,Vincent Chase,Narrow,Frame + Lens,e16689,VC E16689,133 mm,50-18-140,,/vincent-chase-vc-e16689-c1-eyeglasses.html
Black Full Rim Round,2000,1500,SINGLE,Vincent Chase Polarized,Wide,,s16750,VC S16750,143 mm,48-23-146,Black,/vincent-chase-vc-s16750-c1-sunglasses.html
Black Full Rim Rectangle,3500,2500,SINGLE,John Jacobs,Wide,Frame + Lens,e16115,JJ E16115,138 mm,56-14-145,Black,/john-jacobs-jj-e16115-c2-eyeglasses.html
Grey Transparent Full Rim Rectangle,1700,1200,SINGLE,Vincent Chase,Extra Narrow,Frame + Lens,e14974,VC E14974,128 mm,49-16-135,Grey Transparent,/vincent-chase-vc-e14974-c3-eyeglasses.html
Black Full Rim Rectangle,1700,1200,SINGLE,Vincent Chase,Wide,Frame + Lens,e12395,VC E12395,138 mm,55-16-140,Black,/vincent-chase-vc-e12395-c1-eyeglasses.html
Black Full Rim Wayfarer,2000,1500,SINGLE,Vincent Chase Polarized,Wide,,s11113,VC S11113,142 mm,54-17-142,Black,/vincent-chase-vc-s11113-l1-sunglasses.html
Black Full Rim Rectangle/ Square,2000,1500,SINGLE,Vincent Chase Polarized,Narrow,,s13115,VC S13115,135 mm,52-14-145,Black,/vincent-chase-vc-s13115-c3-c3-sunglasses.html
Purple Full Rim Round,1700,1200,SINGLE,Vincent Chase,Medium,Frame + Lens,e16906,VC E16906,136 mm,52-18-145,,/vincent-chase-vc-e16906-c3-eyeglasses.html
Grey Transparent Full Rim Round,2000,1500,SINGLE,Vincent Chase Polarized,Wide,,s16751,VC S16751,142 mm,47-25-145,Grey Transparent,/vincent-chase-vc-s16751-c2-sunglasses.html
Black Tortoise Full Rim Rectangle,5000,4000,SINGLE,John Jacobs,Wide,,rim,JJ S11089,140 mm,57-16-140,Black Tortoise,/tortoise-green-full-rim-rectangle-medium-size-57-john-jacobs-bond-street-jj-s11089-c1-sunglasses.html
Blue Full Rim Square,1700,1200,SINGLE,Vincent Chase,Wide,Frame + Lens,e11797,VC E11797-L,140 mm,55-18-145,Blue,/vincent-chase-vc-e11797-l-c1-eyeglasses.html
Black Grey Transparent Full Rim Square,1700,1200,SINGLE,Vincent Chase,Wide,Frame + Lens,e13920,VC E13919,135 mm,55-18-145,,/vincent-chase-vc-e13920-c2-eyeglasses.html
Black Full Rim Wayfarer,2000,1500,SINGLE,Vincent Chase Polarized,Wide,,s,VC S12644,145 mm,57-16-145,,/vincent-chase-vc-s-12644-l1-sunglasses.html
Black Full Rim Rectangle/ Square,2000,1500,₹2000,Vincent Chase Polarized,Extra Wide,,s13969,VC S13969,147 mm,61-15-142,Black,/vincent-chase-vc-s13969-c1-sunglasses.html
Blue Full Rim Geometric,1700,1200,SINGLE,Vincent Chase,Medium,Frame + Lens,e16792,VC E16792,136 mm,53-17-145,Blue,/vincent-chase-vc-e16792-c1-eyeglasses.html
Grey Transparent Full Rim Wayfarer,2000,1500,SINGLE,Vincent Chase Polarized,Wide,,s16747,VC S16747,142 mm,53-18-145,Grey Transparent,/vincent-chase-vc-s16747-c2-sunglasses.html
Black Rimless Rectangle,5000,4000,SINGLE,John Jacobs,Narrow,Frame + Lens,e11318,JJ E11318,132 mm,52-17-140,Black,/john-jacobs-jj-e11318-rectangle-c4-eyeglasses.html
Black Gold Full Rim Rectangle,1700,1200,SINGLE,Vincent Chase,Extra Narrow,Frame + Lens,e14113,VC E14113,129 mm,51-18-145,Black Gold,/vincent-chase-vc-e14113-c1-c1-eyeglasses.html
Black Gold Full Rim Round,1700,1200,SINGLE,Vincent Chase,Narrow,Frame + Lens,e14035,VC E14035,130 mm,50-20-145,,/vincent-chase-vc-e14035-c2-eyeglasses.html
Black Full Rim Wayfarer,2000,1500,₹2000,Vincent Chase Polarized,Wide,,s13973,VC S13973,145 mm,56-19-140,Black,/vincent-chase-vc-s13973-l1-sunglasses.html
Silver Full Rim Geometric,1500,1000,SINGLE,Vincent Chase Polarized,Wide,,s12917,VC S12917,142 mm,55-21-140,,/vincent-chase-vc-s12917-l1-sunglasses.html
Black Full Rim Cat Eye,1700,1200,SINGLE,Vincent Chase,Medium,Frame + Lens,e16788,VC E16788,136 mm,54-16-145,Black,/vincent-chase-vc-e16788-c2-eyeglasses.html
Blue Transparent Full Rim Wayfarer,2000,1500,SINGLE,Vincent Chase Polarized,Wide,,s16748,VC S16748,143 mm,51-22-149,Blue Transparent,/vincent-chase-vc-s16748-c3-sunglasses.html
Black Gold Full Rim Rectangle,5000,4000,SINGLE,John Jacobs,Wide,Frame + Lens,e11292,JJ E11292,140 mm,52-18-142,Black Gold,/john-jacobs-jj-e11292-c5-h-eyeglasses.html
Gunmetal Full Rim Geometric,2000,1500,₹2000,Vincent Chase,Narrow,,s13984,VC S13984,133 mm,50-20-146,Gunmetal,/vincent-chase-vc-s13984-c1-sunglasses.html
Gold Black Full Rim Square,1700,1200,SINGLE,Vincent Chase,Wide,Frame + Lens,e14938,VC E14938,139 mm,52-18-149,Gold Black,/vincent-chase-vc-e14938-c1-eyeglasses.html
Black Full Rim Geometric,2000,1500,SINGLE,Vincent Chase Polarized,Narrow,,s13121,VC S13121,135 mm,49-19-140,Black,/vincent-chase-vc-s13121-c5-c5-sunglasses.html
Black Full Rim Wayfarer,1500,1000,SINGLE,Vincent Chase Polarized,Wide,,5147/p,VC 5147/P,143 mm,50-23-153,Black,/vincent-chase-vc-5147/p-c109-sunglasses.html
