title,price,discountedPrice,coupon,brand,size,extraDetail,productID,modelNo,frameWidth,frameDimensions,frameColour,link
Silver Transparent Full Rim Square,1700,1200,₹1700,Lenskart Air,Medium,Frame + Lens,e16568,LA E16568,134 mm,50-19-145,Silver Transparent,/lenskart-air-la-e16568-c1-eyeglasses.html
Brown Transparent Full Rim Cat Eye,1700,1200,SINGLE,Vincent Chase,Wide,Frame + Lens,e16608,VC E16608,139 mm,52-18-140,Brown Transparent,/vincent-chase-vc-e16608-c1-eyeglasses.html
Olive Green Transparent Full Rim Rectangle,1700,1200,SINGLE,Vincent Chase,Medium,Frame + Lens,e16671,VC E16671,134 mm,51-18-140,Olive Green Transparent,/vincent-chase-vc-e16671-c1-eyeglasses.html
Tortoise Full Rim Cat Eye,1700,1200,₹1700,Vincent Chase,Medium,Frame + Lens,e,VC E11803-M,135 mm,54-15-145,,/vincent-chase-vc-e-11803-m-c3-eyeglasses.html
Blue Block Screen Glasses: Grey Transparent Black Full Rim Round Lenskart Blu LB E13528-C5,1500,700,TRYUS,Lenskart Blu,Medium,,e13528,LB E13528,134 mm,51-18-135,Grey Transparent,/vincent-chase-vc-e13528-c5-eyeglasses.html
Grey Full Rim Rectangle,3000,2000,SINGLE,Lenskart Air,Narrow,Frame + Lens,e11411/n,LA E11411,132 mm,49-18-140,,/lenskart-air-la-e11411/n-c5-eyeglasses.html
Black Full Rim Rectangle,1700,1200,₹1700,Lenskart Air,Narrow,Frame + Lens,e16565,LA E16565,133 mm,53-16-145,,/lenskart-air-la-e16565-c2-eyeglasses.html
Pink Full Rim Geometric,1700,1200,SINGLE,Vincent Chase,Medium,Frame + Lens,e16657,VC E16657,136 mm,52-16-145,Pink,/vincent-chase-vc-e16657-c2-eyeglasses.html
Grey Transparent Full Rim Geometric,1700,1200,SINGLE,Lenskart Air,Medium,Frame + Lens,e16647,LA E16647,134 mm,51-19-146,Grey Transparent,/lenskart-air-la-e16647-c1-eyeglasses.html
Dark Gunmetal Full Rim Rectangle,1700,1200,SINGLE,Vincent Chase,Wide,Frame + Lens,e16694,VC E16694,139 mm,56-16-140,Dark Gunmetal,/vincent-chase-vc-e16694-c1-eyeglasses.html
Black Full Rim Wayfarer,1500,1000,SINGLE,Vincent Chase,Wide,,s14525,VC S14525,145 mm,59-15-145,,/vincent-chase-vc-s14525-c2-sunglasses.html
Blue Full Rim Rectangle,1700,1200,SINGLE,Vincent Chase,Narrow,Frame + Lens,e13445,VC E13445,130 mm,51-15-140,Blue,/vincent-chase-vc-e13445-c6-eyeglasses.html
Black Full Rim Rectangle,3000,2000,SINGLE,Lenskart Air,Medium,Frame + Lens,e16492,LA E16492,138 mm,51-18-145,Black,/lenskart-air-la-e16492-c2-eyeglasses.html
Green Transparent Full Rim Rectangle,1700,1200,SINGLE,Lenskart Air,Narrow,Frame + Lens,e12059,LA E12059,131 mm,51-15-145,Green Transparent,/lenskart-air-la-e12059-c3-eyeglasses.html
Transparent Full Rim Rectangle,7000,6200,₹7200,Fossil,Medium,Frame + Lens,63m,FOS 7136,136 mm,54-16-145,Transparent,/fossil-fos-7136-63m-eyeglasses.html
Brown Tortoise Full Rim Geometric,1700,1200,SINGLE,Vincent Chase,Wide,Frame + Lens,e16237,VC E16237,138 mm,53-16-140,Brown Tortoise,/vincent-chase-vc-e16237-c2-eyeglasses.html
Silver Full Rim Cat Eye,2000,1500,SINGLE,Vincent Chase,Medium,,s16531,VC S16531,136 mm,53-18-142,Silver,/vincent-chase-vc-s16531-c3-sunglasses.html
